market_cap;circulating_supply;total_supply;max_supply;binanceSymbole
760944249;634634288.119961;1145521187.5111;;AXLUSDT
750634797;3229505319.0;4600000000.0;4600000000.0;IOTAUSDT
736523213;1082860622.0;1082860622.0;;KAVAUSDT
699381504;249422131.422656;384353764.699436;450000000.0;CAKEUSDT
692429251;560000008.5746847;1000000000.0;1000000000.0;NEXOUSDT
688719312;3624334821.75256;5933617951.64751;;KLAYUSDT
671136230;6729795897.58809;10000000000.0;10000000000.0;ROSEUSDT
666525548;164486802.0;1000000000.0;;DYMUSDT
648264794;163919648.539201;223000000.0;223000000.0;HNTUSDT
632143398;17513924.0;21000000.0;;BTGUSDT
624391637;1552047634.84589;3000000000.0;3000000000.0;BLURUSDT
611379578;6386050.63478082;9604452.69072087;;ILVUSDT
609894431;655830747.306097;998177224.574039;1000000000.0;OSMOUSDT
605839139;5631612586.0;8426454897.0;;ASTRUSDT
595118924;5826700029281.58;6796621604582.68;;LUNCUSDT
570571143;96950723.3581583;258446028.244635;258446028.244635;PENDLEUSDT
568970862;6520028437.0;6520200256.0;;TFUELUSDT
562162293;816227692.4;888888888.0;888888888.0;OMUSDT
554314744;55199727655.2;68999659569.0;68999659569.0;BOMEUSDT
554153500;1854548559.45891;2230434593.30607;2230434593.30607;WOOUSDT
552795528;606788392.9615499;1408900141.1674242;1410000000.0;OCEANUSDT
526838651;9441378955.0;9496266827.32;9496266827.32;IOTXUSDT
520245602;1189280072.0;2105986388.18257;3303030299.0;CRVUSDT
509693148;509701467.01;509701467.01;;TUSDUSDT
505422975;1255208333.0;10000000000.0;10000000000.0;ALTUSDT
485869409;1157180160.47375;1500000000.0;1500000000.0;1INCHUSDT
481405480;1440497494.64773;1799383478.74285;;ENJUSDT
479733959;10000000000.0;10000000000.0;10000000000.0;ANKRUSDT
479359969;5179144337.0;5294613738.79763;7000000000.0;SKLUSDT
469720884;1941165954.18229;5382846930.46605;6000000000.0;GMTUSDT
465132454;1043887476.81508;1043887476.81508;;POLYXUSDT
463640740;416649900.0;1000000000.0;;TWTUSDT
462945022;451694843.416917;999998077.416917;999998077.416917;SUPERUSDT
460778107;18272142701.2964;19026998127.0064;21000000000.0;ZILUSDT
460446144;250036078.0;1000000000.0;1000000000.0;MANTAUSDT
453884978;847496054.8122635;1000000000.0;1000000000.0;ZRXUSDT
453189127;117197247.0;1000000000.0;;JTOUSDT
449932404;20292984.947547;20292984.947547;;RPLUSDT
441146277;533817831.0;1000000000.0;1000000000.0;CELOUSDT
439588879;31179101.743714783;100000000.0;100000000.0;ENSUSDT
